Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
MDG,2007-01-01,2007-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2007,2007,SLC,56.5657569660,X
MDG,2008-01-01,2008-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2008,2008,SLC,60.8004393860,X
MDG,2009-01-01,2009-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2009,2009,SLC,65.0133985548,X
MDG,2010-01-01,2010-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2010,2010,SLC,71.6568193616,X
MDG,2011-01-01,2011-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2011,2011,SLC,79.0992307161,X
MDG,2012-01-01,2012-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2012,2012,SLC,83.4229329860,X
MDG,2013-01-01,2013-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2013,2013,SLC,87.9714036030,X
MDG,2014-01-01,2014-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2014,2014,SLC,93.8934368728,X
MDG,2015-01-01,2015-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2015,2015,SLC,100.0000000000,X
MDG,2016-01-01,2016-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2016,2016,SLC,108.9600807268,X
MDG,2017-01-01,2017-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2017,2017,SLC,114.3661784520,X
MDG,2018-01-01,2018-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2018,2018,SLC,123.8562762921,X
MDG,2019-01-01,2019-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2019,2019,SLC,131.9342948965,X
MDG,2020-01-01,2020-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2020,2020,SLC,137.6221738348,X
MDG,2021-01-01,2021-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2021,2021,SLC,146.2505308369,X
MDG,2022-01-01,2022-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2022,2022,SLC,160.3286907910,X
MDG,2023-01-01,2023-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2023,2023,SLC,172.2974670972,X
MDG,2024-01-01,2024-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2024,2024,SLC,182.1986221098,E
MDG,1970-01-01,1970-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1970,1970,USD,19.0557766801,X
MDG,1971-01-01,1971-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1971,1971,USD,19.7638547098,X
MDG,1972-01-01,1972-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1972,1972,USD,22.8790239954,X
MDG,1973-01-01,1973-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1973,1973,USD,28.8108317505,X
MDG,1974-01-01,1974-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1974,1974,USD,32.2429591199,X
MDG,1975-01-01,1975-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1975,1975,USD,37.9122122250,X
MDG,1976-01-01,1976-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1976,1976,USD,37.3788387878,X
MDG,1977-01-01,1977-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1977,1977,USD,39.4791274940,X
MDG,1978-01-01,1978-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1978,1978,USD,45.8847901635,X
